rhos,alphas,betas,num_Hs,real_sample_size,theoretical_sample_size,values
0.05,0.1,0.1,10,170,254221179.89420068,1.0
0.1,0.1,0.1,10,170,12231097.404690797,1.0
0.15000000000000002,0.1,0.1,10,170,1997065.6845056044,1.0
0.2,0.1,0.1,10,170,539073.7019116508,1.0
0.25,0.1,0.1,10,170,191843.9173657737,1.0
0.3,0.1,0.1,10,170,81365.1085764509,1.0
0.35000000000000003,0.1,0.1,10,170,38971.20607819892,1.0
0.4,0.1,0.1,10,160,20415.991073638666,0.6222222222222222
0.45,0.1,0.1,10,160,11461.37461267674,0.6222222222222222
0.5,0.1,0.1,10,160,6801.027200228343,0.6222222222222222
0.55,0.1,0.1,10,150,4225.069714157224,0.4666666666666667
0.6000000000000001,0.1,0.1,10,150,2729.3796627366587,0.4666666666666667
0.6500000000000001,0.1,0.1,10,150,1824.4791600557057,0.4666666666666667
0.7000000000000001,0.1,0.1,10,150,1257.526408534292,0.4666666666666667
0.7500000000000001,0.1,0.1,10,110,891.4062699961695,0.26666666666666666
0.8,0.1,0.1,10,110,648.6178790513762,0.26666666666666666
0.8500000000000001,0.1,0.1,10,110,483.7636589426699,0.26666666666666666
0.9000000000000001,0.1,0.1,10,100,369.41085874263587,0.1111111111111111
0.9500000000000001,0.1,0.1,10,100,288.52263159683446,0.1111111111111111
