rhos,alphas,betas,num_Hs,real_sample_size,theoretical_sample_size
0.1,0.1,0.1,10,170,12231097.404690797
0.1,0.1,0.1,15,230,16909116.274071485
0.1,0.1,0.1,20,500,20687372.806211308
0.1,0.1,0.1,25,230,23880482.04174818
0.1,0.1,0.1,30,230,26659660.924738098
0.1,0.1,0.1,35,280,29128852.346677274
0.1,0.1,0.1,40,240,31356216.103196047
